"""About the data: Analytical views - Publisher - Exported on Feb 24, 2023. Criteria: Publication Year is 2021; Research Organization is Harvard University. © 2023 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.""
",,,,,,,,
Name,Rank All Publications,Publications,Rank % All Publications,% All publications,Rank Closed Pub,Closed Pub,Rank % Closed Pub,% Closed Pub
Elsevier,1,7952,1,22.96,1,2810,1,26.65
Springer Nature,2,5217,2,15.06,2,1628,2,15.44
Wiley,3,2890,3,8.34,3,1457,3,13.82
Cold Spring Harbor Laboratory,4,2053,4,5.93,77,3,77,0.03
Wolters Kluwer,5,1955,5,5.65,4,818,4,7.76
Oxford University Press (OUP),6,1602,6,4.63,6,361,6,3.42
MDPI,7,889,7,2.57,164,0,164,0.00
Frontiers,8,888,8,2.56,164,0,164,0.00
Taylor & Francis,9,818,9,2.36,5,462,5,4.38
American Medical Association (AMA),10,737,10,2.13,9,194,9,1.84
SAGE Publications,11,632,11,1.82,7,356,7,3.38
BMJ,12,500,12,1.44,14,85,14,0.81
Public Library of Science (PLoS),13,392,13,1.13,164,0,164,0.00
Institute of Electrical and Electronics Engineers (IEEE),14,372,14,1.07,10,179,10,1.70
American Society of Clinical Oncology (ASCO),15,357,15,1.03,8,263,8,2.49
American Chemical Society (ACS),16,348,16,1.00,11,164,11,1.56
Cambridge University Press (CUP),17,319,17,0.92,12,146,12,1.38
American Association for the Advancement of Science (AAAS),18,316,18,0.91,16,73,16,0.69
American Society of Hematology,19,306,19,0.88,77,3,77,0.03
Research Square Platform LLC,20,290,20,0.84,164,0,164,0.00
American Physical Society (APS),21,259,21,0.75,49,10,49,0.09
Proceedings of the National Academy of Sciences,22,246,22,0.71,43,15,43,0.14
American Association for Cancer Research (AACR),23,245,23,0.71,45,14,45,0.13
Mary Ann Liebert,24,230,24,0.66,13,137,13,1.30
American Thoracic Society,25,157,25,0.45,25,29,25,0.28
IOP Publishing,26,144,26,0.42,21,37,21,0.35
Thieme,27,143,27,0.41,15,79,15,0.75
Environmental Health Perspectives,28,136,28,0.39,164,0,164,0.00
Association for Computing Machinery (ACM),29,134,29,0.39,18,65,18,0.62
American Society for Microbiology,30,129,30,0.37,50,9,50,0.09
JMIR Publications,31,121,31,0.35,164,0,164,0.00
The Endocrine Society,32,105,32,0.30,66,4,66,0.04
eLife,32,105,32,0.30,164,0,164,0.00
Copernicus Publications,34,97,34,0.28,164,0,164,0.00
American Academy of Pediatrics (AAP),35,96,35,0.28,17,68,17,0.64
Hindawi,35,96,35,0.28,43,15,43,0.14
American Psychological Association (APA),37,88,37,0.25,19,40,19,0.38
American Society for Clinical Investigation,38,83,38,0.24,164,0,164,0.00
Royal Society of Chemistry (RSC),39,80,39,0.23,25,29,25,0.28
American Astronomical Society,40,77,40,0.22,164,0,164,0.00
Karger Publishers,41,69,41,0.20,36,20,36,0.19
Association for Research in Vision and Ophthalmology (ARVO),42,65,42,0.19,164,0,164,0.00
American Geophysical Union (AGU),43,64,43,0.18,36,20,36,0.19
Cureus,43,64,43,0.18,164,0,164,0.00
American Diabetes Association,45,61,45,0.18,93,2,93,0.02
IOS Press,46,60,46,0.17,33,21,33,0.20
Health Affairs,47,58,47,0.17,22,36,22,0.34
American College of Physicians,48,57,48,0.16,24,32,24,0.30
The Royal Society,49,56,49,0.16,93,2,93,0.02
Annual Reviews,50,54,50,0.16,25,29,25,0.28
AIP Publishing,51,53,51,0.15,45,14,45,0.13
AME Publishing Company,52,47,52,0.14,93,2,93,0.02
De Gruyter,52,47,52,0.14,39,18,39,0.17
Massachusetts Medical Society,54,43,54,0.12,30,27,30,0.26
Journal of Neurosurgery Publishing Group (JNSPG),55,42,55,0.12,39,18,39,0.17
Radiological Society of North America (RSNA),55,42,55,0.12,31,25,31,0.24
Institute for Operations Research and the Management Sciences (INFORMS),57,41,57,0.12,25,29,25,0.28
Academy of Management,58,40,58,0.12,20,39,20,0.37
American Roentgen Ray Society,59,37,59,0.11,23,34,23,0.32
Brill Academic Publishers,59,37,59,0.11,25,29,25,0.28
Society for Neuroscience,59,37,59,0.11,164,0,164,0.00
World Scientific Publishing,59,37,59,0.11,36,20,36,0.19
European Respiratory Society (ERS),63,35,63,0.10,50,9,50,0.09
American Physiological Society,64,34,64,0.10,48,13,48,0.12
"Physicians Postgraduate Press, Inc",65,32,65,0.09,32,24,32,0.23
Rockefeller University Press,65,32,65,0.09,164,0,164,0.00
American Public Health Association,67,29,67,0.08,33,21,33,0.20
MIT Press,67,29,67,0.08,56,8,56,0.08
Future Science Group,69,28,69,0.08,50,9,50,0.09
"Impact Journals, LLC",69,28,69,0.08,164,0,164,0.00
Royal College of Psychiatrists,69,28,69,0.08,115,1,115,0.01
American Psychiatric Association Publishing,72,27,72,0.08,39,18,39,0.17
Duke University Press,72,27,72,0.08,33,21,33,0.20
Ivyspring International Publisher,72,27,72,0.08,164,0,164,0.00
American Economic Association,75,26,75,0.08,93,2,93,0.02
EMBO,76,25,76,0.07,77,3,77,0.03
Bentham Science Publishers,77,24,77,0.07,42,17,42,0.16
The Company of Biologists,78,23,78,0.07,77,3,77,0.03
International Press of Boston,79,21,79,0.06,66,4,66,0.04
"SPIE, the international society for optics and photonics",79,21,79,0.06,58,6,58,0.06
American Academy of Sleep Medicine (AASM),81,19,81,0.05,77,3,77,0.03
International Society of Global Health,81,19,81,0.05,164,0,164,0.00
International Union Against Tuberculosis and Lung Disease,81,19,81,0.05,50,9,50,0.09
Ubiquity Press,81,19,81,0.05,164,0,164,0.00
Faculty of 1000,85,18,85,0.05,115,1,115,0.01
Institute of Mathematical Statistics,85,18,85,0.05,115,1,115,0.01
Ferrata Storti Foundation (Haematologica),87,16,87,0.05,164,0,164,0.00
Authorea,88,15,88,0.04,164,0,164,0.00
Edizioni Minerva Medica,88,15,88,0.04,45,14,45,0.13
The American Association of Immunologists,88,15,88,0.04,77,3,77,0.03
XMLink,88,15,88,0.04,164,0,164,0.00
American Meteorological Society,92,14,92,0.04,50,9,50,0.09
American Society of Tropical Medicine and Hygiene,92,14,92,0.04,164,0,164,0.00
FapUNIFESP (SciELO),92,14,92,0.04,164,0,164,0.00
American Society of Neuroradiology (ASNR),95,13,95,0.04,164,0,164,0.00
Emerald,95,13,95,0.04,50,9,50,0.09
The Econometric Society,95,13,95,0.04,93,2,93,0.02
American Speech Language Hearing Association,98,11,98,0.03,115,1,115,0.01
"Bio-Protocol, LLC",98,11,98,0.03,115,1,115,0.01
"Harborside Press, LLC",98,11,98,0.03,60,5,60,0.05
Magnolia Press,98,11,98,0.03,58,6,58,0.06
Optica Publishing Group,98,11,98,0.03,164,0,164,0.00
Western Journal of Emergency Medicine,98,11,98,0.03,164,0,164,0.00
American Society of Interventional Pain Physicians,104,10,104,0.03,164,0,164,0.00
Baishideng Publishing Group,104,10,104,0.03,164,0,164,0.00
EDP Sciences,104,10,104,0.03,164,0,164,0.00
"Johns Hopkins School Bloomberg School of Public Health, Center for Communication Programs",104,10,104,0.03,164,0,164,0.00
American Educational Research Association (AERA),108,9,108,0.03,57,7,57,0.07
American Society for Cell Biology (ASCB),108,9,108,0.03,115,1,115,0.01
Frontline Medical Communications,108,9,108,0.03,93,2,93,0.02
International Joint Conferences on Artificial Intelligence,108,9,108,0.03,164,0,164,0.00
Maad Rayan Publishing Company,108,9,108,0.03,164,0,164,0.00
PeerJ,108,9,108,0.03,164,0,164,0.00
Society of Nuclear Medicine,108,9,108,0.03,164,0,164,0.00
Stichting SciPost,108,9,108,0.03,164,0,164,0.00
University of California Press,108,9,108,0.03,60,5,60,0.05
Academy of Managed Care Pharmacy,117,8,117,0.02,66,4,66,0.04
Association of American Medical Colleges,117,8,117,0.02,164,0,164,0.00
Briefland,117,8,117,0.02,164,0,164,0.00
British Institute of Radiology,117,8,117,0.02,93,2,93,0.02
Edinburgh University Library,117,8,117,0.02,164,0,164,0.00
European Mathematical Society - EMS - Publishing House GmbH,117,8,117,0.02,93,2,93,0.02
SERDI,117,8,117,0.02,115,1,115,0.01
Universidade Federal do Rio Grande do Sul,117,8,117,0.02,115,1,115,0.01
Acoustical Society of America (ASA),125,7,125,0.02,77,3,77,0.03
Anticancer Research USA Inc.,125,7,125,0.02,164,0,164,0.00
California Digital Library (CDL),125,7,125,0.02,164,0,164,0.00
Centers for Disease Control and Prevention (CDC),125,7,125,0.02,164,0,164,0.00
IMR Press,125,7,125,0.02,164,0,164,0.00
Japan Epidemiological Association,125,7,125,0.02,164,0,164,0.00
Microbiology Society,125,7,125,0.02,115,1,115,0.01
"Museum of Comparative Zoology, Harvard University",125,7,125,0.02,115,1,115,0.01
OAE Publishing Inc.,125,7,125,0.02,164,0,164,0.00
Portland Press,125,7,125,0.02,77,3,77,0.03
AACN Publishing,135,6,135,0.02,93,2,93,0.02
American Mathematical Society (AMS),135,6,135,0.02,164,0,164,0.00
Bioscientifica,135,6,135,0.02,115,1,115,0.01
British Editorial Society of Bone & Joint Surgery,135,6,135,0.02,66,4,66,0.04
CSIRO Publishing,135,6,135,0.02,60,5,60,0.05
